Algo,TailleMat,RunId,Temps
CPU1,10,1,0.000015
CPU1,10,2,0.000015
CPU1,10,3,0.000014
CPU1,10,4,0.000014
CPU1,10,5,0.000013
CPU1,10,6,0.000013
CPU1,10,7,0.000013
CPU1,10,8,0.000012
CPU1,10,9,0.000013
CPU1,10,10,0.000011
CPU1,10,11,0.000011
CPU1,10,12,0.000012
CPU1,10,13,0.000012
CPU1,10,14,0.000012
CPU1,10,15,0.000011
CPU1,10,16,0.000011
CPU1,10,17,0.000010
CPU1,10,18,0.000010
CPU1,10,19,0.000014
CPU1,10,20,0.000010
CPU1,10,21,0.000010
CPU1,10,22,0.000010
CPU1,10,23,0.000010
CPU1,10,24,0.000010
CPU1,10,25,0.000011
CPU1,10,26,0.000010
CPU1,10,27,0.000010
CPU1,10,28,0.000010
CPU1,10,29,0.000010
CPU1,10,30,0.000010
CPU1,10,31,0.000010
CPU1,10,32,0.000010
CPU1,20,1,0.000068
CPU1,20,2,0.000064
CPU1,20,3,0.000065
CPU1,20,4,0.000064
CPU1,20,5,0.000064
CPU1,20,6,0.000065
CPU1,20,7,0.000061
CPU1,20,8,0.000061
CPU1,20,9,0.000061
CPU1,20,10,0.000064
CPU1,20,11,0.000058
CPU1,20,12,0.000061
CPU1,20,13,0.000061
CPU1,20,14,0.000060
CPU1,20,15,0.000061
CPU1,20,16,0.000061
CPU1,20,17,0.000061
CPU1,20,18,0.000061
CPU1,20,19,0.000060
CPU1,20,20,0.000075
CPU1,20,21,0.000058
CPU1,20,22,0.000058
CPU1,20,23,0.000055
CPU1,20,24,0.000055
CPU1,20,25,0.000055
CPU1,20,26,0.000055
CPU1,20,27,0.000055
CPU1,20,28,0.000055
CPU1,20,29,0.000055
CPU1,20,30,0.000055
CPU1,20,31,0.000055
CPU1,20,32,0.000055
CPU1,30,1,0.000178
CPU1,30,2,0.000198
CPU1,30,3,0.000257
CPU1,30,4,0.000178
CPU1,30,5,0.000199
CPU1,30,6,0.000164
CPU1,30,7,0.000193
CPU1,30,8,0.000189
CPU1,30,9,0.000221
CPU1,30,10,0.000164
CPU1,30,11,0.000171
CPU1,30,12,0.000179
CPU1,30,13,0.000171
CPU1,30,14,0.000202
CPU1,30,15,0.000165
CPU1,30,16,0.000171
CPU1,30,17,0.000164
CPU1,30,18,0.000163
CPU1,30,19,0.000172
CPU1,30,20,0.000172
CPU1,30,21,0.000165
CPU1,30,22,0.000163
CPU1,30,23,0.000164
CPU1,30,24,0.000164
CPU1,30,25,0.000164
CPU1,30,26,0.000183
CPU1,30,27,0.000163
CPU1,30,28,0.000163
CPU1,30,29,0.000157
CPU1,30,30,0.000163
CPU1,30,31,0.000313
CPU1,30,32,0.000315
CPU1,40,1,0.000397
CPU1,40,2,0.000391
CPU1,40,3,0.000681
CPU1,40,4,0.000397
CPU1,40,5,0.000397
CPU1,40,6,0.000415
CPU1,40,7,0.000492
CPU1,40,8,0.000414
CPU1,40,9,0.000397
CPU1,40,10,0.000397
CPU1,40,11,0.000396
CPU1,40,12,0.000454
CPU1,40,13,0.000468
CPU1,40,14,0.000415
CPU1,40,15,0.000396
CPU1,40,16,0.000397
CPU1,40,17,0.000414
CPU1,40,18,0.000424
CPU1,40,19,0.000416
CPU1,40,20,0.000380
CPU1,40,21,0.000397
CPU1,40,22,0.000423
CPU1,40,23,0.000380
CPU1,40,24,0.000396
CPU1,40,25,0.000397
CPU1,40,26,0.000380
CPU1,40,27,0.000396
CPU1,40,28,0.000393
CPU1,40,29,0.000397
CPU1,40,30,0.000396
CPU1,40,31,0.000381
CPU1,40,32,0.000380
CPU1,50,1,0.001027
CPU1,50,2,0.000683
CPU1,50,3,0.000657
CPU1,50,4,0.000683
CPU1,50,5,0.000678
CPU1,50,6,0.000654
CPU1,50,7,0.000723
CPU1,50,8,0.000657
CPU1,50,9,0.000658
CPU1,50,10,0.000633
CPU1,50,11,0.000657
CPU1,50,12,0.000643
CPU1,50,13,0.000630
CPU1,50,14,0.000654
CPU1,50,15,0.000657
CPU1,50,16,0.000683
CPU1,50,17,0.000703
CPU1,50,18,0.000656
CPU1,50,19,0.000634
CPU1,50,20,0.000634
CPU1,50,21,0.000654
CPU1,50,22,0.000650
CPU1,50,23,0.000631
CPU1,50,24,0.000654
CPU1,50,25,0.000634
CPU1,50,26,0.000634
CPU1,50,27,0.000606
CPU1,50,28,0.000654
CPU1,50,29,0.000633
CPU1,50,30,0.000607
CPU1,50,31,0.000630
CPU1,50,32,0.000603
CPU1,60,1,0.001124
CPU1,60,2,0.001009
CPU1,60,3,0.001079
CPU1,60,4,0.001006
CPU1,60,5,0.001009
CPU1,60,6,0.001079
CPU1,60,7,0.001125
CPU1,60,8,0.001083
CPU1,60,9,0.001165
CPU1,60,10,0.001078
CPU1,60,11,0.001019
CPU1,60,12,0.000998
CPU1,60,13,0.001124
CPU1,60,14,0.001024
CPU1,60,15,0.001009
CPU1,60,16,0.001007
CPU1,60,17,0.000941
CPU1,60,18,0.001151
CPU1,60,19,0.000986
CPU1,60,20,0.000912
CPU1,60,21,0.001083
CPU1,60,22,0.001082
CPU1,60,23,0.001082
CPU1,60,24,0.001044
CPU1,60,25,0.001014
CPU1,60,26,0.001025
CPU1,60,27,0.000914
CPU1,60,28,0.001051
CPU1,60,29,0.001004
CPU1,60,30,0.000976
CPU1,60,31,0.001016
CPU1,60,32,0.001038
CPU1,70,1,0.001639
CPU1,70,2,0.001568
CPU1,70,3,0.001565
CPU1,70,4,0.001562
CPU1,70,5,0.001634
CPU1,70,6,0.001576
CPU1,70,7,0.001511
CPU1,70,8,0.001458
CPU1,70,9,0.002667
CPU1,70,10,0.001499
CPU1,70,11,0.003716
CPU1,70,12,0.003568
CPU1,70,13,0.001788
CPU1,70,14,0.002105
CPU1,70,15,0.001804
CPU1,70,16,0.002241
CPU1,70,17,0.002189
CPU1,70,18,0.002150
CPU1,70,19,0.001998
CPU1,70,20,0.001920
CPU1,70,21,0.001932
CPU1,70,22,0.001969
CPU1,70,23,0.001884
CPU1,70,24,0.001899
CPU1,70,25,0.001859
CPU1,70,26,0.001789
CPU1,70,27,0.001787
CPU1,70,28,0.001852
CPU1,70,29,0.001874
CPU1,70,30,0.001797
CPU1,70,31,0.001793
CPU1,70,32,0.001775
CPU1,80,1,0.002633
CPU1,80,2,0.002879
CPU1,80,3,0.002853
CPU1,80,4,0.002791
CPU1,80,5,0.002714
CPU1,80,6,0.002397
CPU1,80,7,0.002686
CPU1,80,8,0.003019
CPU1,80,9,0.003289
CPU1,80,10,0.002914
CPU1,80,11,0.003170
CPU1,80,12,0.002772
CPU1,80,13,0.005971
CPU1,80,14,0.002912
CPU1,80,15,0.003589
CPU1,80,16,0.002854
CPU1,80,17,0.002565
CPU1,80,18,0.004797
CPU1,80,19,0.002567
CPU1,80,20,0.003152
CPU1,80,21,0.003002
CPU1,80,22,0.004106
CPU1,80,23,0.002921
CPU1,80,24,0.002790
CPU1,80,25,0.002773
CPU1,80,26,0.002777
CPU1,80,27,0.002736
CPU1,80,28,0.002656
CPU1,80,29,0.002670
CPU1,80,30,0.002745
CPU1,80,31,0.002807
CPU1,80,32,0.003864
CPU1,90,1,0.003534
CPU1,90,2,0.003516
CPU1,90,3,0.004182
CPU1,90,4,0.003493
CPU1,90,5,0.007076
CPU1,90,6,0.003419
CPU1,90,7,0.006591
CPU1,90,8,0.004546
CPU1,90,9,0.004518
CPU1,90,10,0.004480
CPU1,90,11,0.004330
CPU1,90,12,0.004290
CPU1,90,13,0.008122
CPU1,90,14,0.004095
CPU1,90,15,0.004108
CPU1,90,16,0.003940
CPU1,90,17,0.003533
CPU1,90,18,0.003961
CPU1,90,19,0.003301
CPU1,90,20,0.003318
CPU1,90,21,0.008106
CPU1,90,22,0.004136
CPU1,90,23,0.004107
CPU1,90,24,0.004960
CPU1,90,25,0.004861
CPU1,90,26,0.005131
CPU1,90,27,0.004487
CPU1,90,28,0.004748
CPU1,90,29,0.008180
CPU1,90,30,0.007622
CPU1,90,31,0.007081
CPU1,90,32,0.006578
CPU1,100,1,0.009153
CPU1,100,2,0.008136
CPU1,100,3,0.006987
CPU1,100,4,0.006716
CPU1,100,5,0.010482
CPU1,100,6,0.010792
CPU1,100,7,0.009850
CPU1,100,8,0.009138
CPU1,100,9,0.008534
CPU1,100,10,0.009851
CPU1,100,11,0.008165
CPU1,100,12,0.007438
CPU1,100,13,0.007240
CPU1,100,14,0.006887
CPU1,100,15,0.010972
CPU1,100,16,0.009181
CPU1,100,17,0.009213
CPU1,100,18,0.009214
CPU1,100,19,0.008129
CPU1,100,20,0.008156
CPU1,100,21,0.007632
CPU1,100,22,0.007236
CPU1,100,23,0.007367
CPU1,100,24,0.006978
CPU1,100,25,0.008504
CPU1,100,26,0.008138
CPU1,100,27,0.006605
CPU1,100,28,0.007216
CPU1,100,29,0.006244
CPU1,100,30,0.006547
CPU1,100,31,0.007561
CPU1,100,32,0.007259
CPU1,110,1,0.008143
CPU1,110,2,0.008082
CPU1,110,3,0.012301
CPU1,110,4,0.011431
CPU1,110,5,0.010563
CPU1,110,6,0.010014
CPU1,110,7,0.010237
CPU1,110,8,0.009717
CPU1,110,9,0.009196
CPU1,110,10,0.012711
CPU1,110,11,0.015110
CPU1,110,12,0.015198
CPU1,110,13,0.014871
CPU1,110,14,0.015093
CPU1,110,15,0.014753
CPU1,110,16,0.013730
CPU1,110,17,0.012668
CPU1,110,18,0.012298
CPU1,110,19,0.011503
CPU1,110,20,0.010707
CPU1,110,21,0.010406
CPU1,110,22,0.010118
CPU1,110,23,0.015216
CPU1,110,24,0.015241
CPU1,110,25,0.012364
CPU1,110,26,0.011448
CPU1,110,27,0.011389
CPU1,110,28,0.010817
CPU1,110,29,0.009675
CPU1,110,30,0.009154
CPU1,110,31,0.014957
CPU1,110,32,0.013662
CPU1,120,1,0.016292
CPU1,120,2,0.016784
CPU1,120,3,0.014731
CPU1,120,4,0.014023
