Algo,TailleMat,RunId,TempsAlloc,TempsCalc
GPU1,10,1,0.053395,0.000028
GPU1,10,2,0.034236,0.000028
GPU1,10,3,0.023937,0.000025
GPU1,10,4,0.023228,0.000026
GPU1,10,5,0.025565,0.000024
GPU1,10,6,0.023272,0.000027
GPU1,10,7,0.022924,0.000024
GPU1,10,8,0.023220,0.000024
GPU1,10,9,0.027786,0.000024
GPU1,10,10,0.023066,0.000025
GPU1,10,11,0.025071,0.001884
GPU1,10,12,0.022979,0.000024
GPU1,10,13,0.023123,0.000026
GPU1,10,14,0.023753,0.000029
GPU1,10,15,0.028323,0.000024
GPU1,10,16,0.022802,0.000024
GPU1,10,17,0.025263,0.000024
GPU1,10,18,0.024097,0.000024
GPU1,10,19,0.028207,0.000026
GPU1,10,20,0.031632,0.000029
GPU1,10,21,0.022834,0.000024
GPU1,10,22,0.023070,0.000024
GPU1,10,23,0.025439,0.000025
GPU1,10,24,0.024496,0.000024
GPU1,10,25,0.022940,0.000024
GPU1,10,26,0.026058,0.000024
GPU1,10,27,0.023363,0.000025
GPU1,10,28,0.023319,0.000025
GPU1,10,29,0.030467,0.000027
GPU1,10,30,0.031506,0.000026
GPU1,10,31,0.027952,0.000027
GPU1,10,32,0.024553,0.000024
GPU1,20,1,0.023604,0.000026
GPU1,20,2,0.035801,0.000035
GPU1,20,3,0.039425,0.000032
GPU1,20,4,0.030329,0.000030
GPU1,20,5,0.031422,0.000029
GPU1,20,6,0.023482,0.000027
GPU1,20,7,0.025545,0.000028
GPU1,20,8,0.023784,0.000029
GPU1,20,9,0.023111,0.000027
GPU1,20,10,0.023043,0.000028
GPU1,20,11,0.026035,0.000027
GPU1,20,12,0.023433,0.000027
GPU1,20,13,0.028716,0.000150
GPU1,20,14,0.023411,0.000029
GPU1,20,15,0.022880,0.000028
GPU1,20,16,0.036407,0.000033
GPU1,20,17,0.023789,0.000028
GPU1,20,18,0.023497,0.000027
GPU1,20,19,0.026809,0.000097
GPU1,20,20,0.023887,0.000027
GPU1,20,21,0.023061,0.000028
GPU1,20,22,0.027493,0.000027
GPU1,20,23,0.023277,0.000027
GPU1,20,24,0.023102,0.000028
GPU1,20,25,0.036452,0.000032
GPU1,20,26,0.024770,0.000028
GPU1,20,27,0.022841,0.000028
GPU1,20,28,0.025553,0.000027
GPU1,20,29,0.025227,0.000027
GPU1,20,30,0.022921,0.000028
GPU1,20,31,0.025291,0.000028
GPU1,20,32,0.023243,0.000039
GPU1,30,1,0.023625,0.000033
GPU1,30,2,0.025880,0.000034
GPU1,30,3,0.023927,0.000033
GPU1,30,4,0.022864,0.000033
GPU1,30,5,0.026973,0.000033
GPU1,30,6,0.023548,0.000032
GPU1,30,7,0.023369,0.000033
GPU1,30,8,0.023243,0.000032
GPU1,30,9,0.024277,0.000035
GPU1,30,10,0.023136,0.000033
GPU1,30,11,0.025729,0.000033
GPU1,30,12,0.023565,0.000035
GPU1,30,13,0.022389,0.000031
GPU1,30,14,0.031555,0.000151
GPU1,30,15,0.024062,0.000030
GPU1,30,16,0.022039,0.000031
GPU1,30,17,0.034910,0.000036
GPU1,30,18,0.024459,0.000032
GPU1,30,19,0.023214,0.000033
GPU1,30,20,0.033972,0.000039
GPU1,30,21,0.031309,0.000035
GPU1,30,22,0.041917,0.000046
GPU1,30,23,0.038877,0.000039
GPU1,30,24,0.040001,0.000034
GPU1,30,25,0.026530,0.000035
GPU1,30,26,0.024746,0.000034
GPU1,30,27,0.025755,0.000035
GPU1,30,28,0.023435,0.000033
GPU1,30,29,0.026490,0.000033
GPU1,30,30,0.026501,0.000035
GPU1,30,31,0.023304,0.000033
GPU1,30,32,0.023210,0.000033
GPU1,40,1,0.023122,0.000035
GPU1,40,2,0.025645,0.000039
GPU1,40,3,0.032334,0.000041
GPU1,40,4,0.029992,0.000037
GPU1,40,5,0.027165,0.000037
GPU1,40,6,0.034566,0.000042
GPU1,40,7,0.029434,0.000041
GPU1,40,8,0.023175,0.000037
GPU1,40,9,0.022873,0.000037
GPU1,40,10,0.028214,0.000039
GPU1,40,11,0.038966,0.000041
GPU1,40,12,0.031168,0.000040
GPU1,40,13,0.024913,0.000038
GPU1,40,14,0.023169,0.000037
GPU1,40,15,0.025637,0.000037
GPU1,40,16,0.024186,0.000039
GPU1,40,17,0.023057,0.000038
GPU1,40,18,0.027495,0.000036
GPU1,40,19,0.025784,0.000037
GPU1,40,20,0.023273,0.000037
GPU1,40,21,0.036717,0.000040
GPU1,40,22,0.035287,0.000039
GPU1,40,23,0.027822,0.000039
GPU1,40,24,0.033724,0.000040
GPU1,40,25,0.027512,0.000039
GPU1,40,26,0.036597,0.000040
GPU1,40,27,0.026858,0.000039
GPU1,40,28,0.026716,0.000037
GPU1,40,29,0.026933,0.000036
GPU1,40,30,0.022862,0.000037
GPU1,40,31,0.027345,0.000037
GPU1,40,32,0.028506,0.000041
GPU1,50,1,0.023419,0.000048
GPU1,50,2,0.023155,0.000049
GPU1,50,3,0.025297,0.000696
GPU1,50,4,0.024330,0.000051
GPU1,50,5,0.023282,0.000049
GPU1,50,6,0.023022,0.000048
GPU1,50,7,0.031781,0.000051
GPU1,50,8,0.030253,0.000050
GPU1,50,9,0.031585,0.000051
GPU1,50,10,0.023083,0.000048
GPU1,50,11,0.028699,0.000051
GPU1,50,12,0.030120,0.000047
GPU1,50,13,0.024010,0.000049
GPU1,50,14,0.023290,0.000048
GPU1,50,15,0.037101,0.000050
GPU1,50,16,0.024767,0.000048
GPU1,50,17,0.023398,0.000049
GPU1,50,18,0.037853,0.000051
GPU1,50,19,0.026140,0.000050
GPU1,50,20,0.023507,0.000048
GPU1,50,21,0.035471,0.000052
GPU1,50,22,0.026987,0.000050
GPU1,50,23,0.023952,0.000049
GPU1,50,24,0.025506,0.000049
GPU1,50,25,0.023675,0.000048
GPU1,50,26,0.022630,0.000048
GPU1,50,27,0.022954,0.000048
GPU1,50,28,0.024956,0.000051
GPU1,50,29,0.023117,0.000049
GPU1,50,30,0.023616,0.000053
GPU1,50,31,0.023800,0.000049
GPU1,50,32,0.026806,0.000050
GPU1,60,1,0.023444,0.000065
GPU1,60,2,0.025740,0.000068
GPU1,60,3,0.023422,0.000065
GPU1,60,4,0.029228,0.000068
GPU1,60,5,0.023292,0.000067
GPU1,60,6,0.030999,0.000068
GPU1,60,7,0.030097,0.000067
GPU1,60,8,0.024374,0.000066
GPU1,60,9,0.023072,0.000083
GPU1,60,10,0.031185,0.000069
GPU1,60,11,0.023363,0.000065
GPU1,60,12,0.022823,0.000066
GPU1,60,13,0.026222,0.000066
GPU1,60,14,0.023895,0.000067
GPU1,60,15,0.023209,0.000067
GPU1,60,16,0.025560,0.000066
GPU1,60,17,0.029901,0.000070
GPU1,60,18,0.025677,0.000066
GPU1,60,19,0.025400,0.000068
GPU1,60,20,0.034434,0.000070
GPU1,60,21,0.028032,0.000067
GPU1,60,22,0.030789,0.000069
GPU1,60,23,0.036873,0.000070
GPU1,60,24,0.028161,0.000068
GPU1,60,25,0.024099,0.000066
GPU1,60,26,0.022952,0.000065
GPU1,60,27,0.023166,0.001870
GPU1,60,28,0.026252,0.000065
GPU1,60,29,0.040016,0.000071
GPU1,60,30,0.030610,0.000068
GPU1,60,31,0.042911,0.000071
GPU1,60,32,0.034091,0.000070
GPU1,70,1,0.026526,0.000100
GPU1,70,2,0.024562,0.000100
GPU1,70,3,0.036732,0.002123
GPU1,70,4,0.023559,0.000100
GPU1,70,5,0.023392,0.000101
GPU1,70,6,0.026205,0.000100
GPU1,70,7,0.023378,0.000102
GPU1,70,8,0.028501,0.000101
GPU1,70,9,0.029547,0.000099
GPU1,70,10,0.024156,0.000101
GPU1,70,11,0.027686,0.000100
GPU1,70,12,0.028904,0.000102
GPU1,70,13,0.023586,0.000100
GPU1,70,14,0.023664,0.000100
GPU1,70,15,0.023619,0.002248
GPU1,70,16,0.024575,0.000103
GPU1,70,17,0.023098,0.000099
GPU1,70,18,0.026181,0.000102
GPU1,70,19,0.024730,0.000099
GPU1,70,20,0.023207,0.000101
GPU1,70,21,0.025705,0.000099
GPU1,70,22,0.023946,0.000100
