Algo,TailleMat,RunId,TempsAlloc,TempsCalc
GPU3,10,1,0.036567,0.002713
GPU3,10,2,0.027223,0.002586
GPU3,10,3,0.024773,0.002570
GPU3,10,4,0.040468,0.002842
GPU3,10,5,0.040085,0.003089
GPU3,10,6,0.040282,0.003004
GPU3,10,7,0.042574,0.003011
GPU3,10,8,0.031576,0.003000
GPU3,10,9,0.028304,0.004081
GPU3,10,10,0.035057,0.004158
GPU3,10,11,0.028647,0.003231
GPU3,10,12,0.025905,0.002502
GPU3,10,13,0.023175,0.002782
GPU3,10,14,0.023172,0.002454
GPU3,10,15,0.030779,0.002774
GPU3,10,16,0.023928,0.002468
GPU3,10,17,0.022854,0.002452
GPU3,10,18,0.023047,0.002442
GPU3,10,19,0.022904,0.002555
GPU3,10,20,0.035040,0.003837
GPU3,10,21,0.028140,0.002950
GPU3,10,22,0.040266,0.003243
GPU3,10,23,0.035361,0.003314
GPU3,10,24,0.040689,0.003473
GPU3,10,25,0.027839,0.003152
GPU3,10,26,0.023146,0.002454
GPU3,10,27,0.023382,0.002450
GPU3,10,28,0.023330,0.002459
GPU3,10,29,0.023001,0.002438
GPU3,10,30,0.026261,0.002597
GPU3,10,31,0.025894,0.002538
GPU3,10,32,0.023653,0.002608
GPU3,20,1,0.023150,0.005195
GPU3,20,2,0.028528,0.005064
GPU3,20,3,0.034061,0.005771
GPU3,20,4,0.028422,0.005280
GPU3,20,5,0.025122,0.004545
GPU3,20,6,0.023360,0.004459
GPU3,20,7,0.031827,0.005382
GPU3,20,8,0.033823,0.005911
GPU3,20,9,0.027160,0.004960
GPU3,20,10,0.024528,0.005960
GPU3,20,11,0.033430,0.005567
GPU3,20,12,0.028214,0.005856
GPU3,20,13,0.040708,0.006555
GPU3,20,14,0.030180,0.005523
GPU3,20,15,0.040929,0.008473
GPU3,20,16,0.026450,0.004942
GPU3,20,17,0.040610,0.005801
GPU3,20,18,0.044115,0.007017
GPU3,20,19,0.029853,0.005432
GPU3,20,20,0.042719,0.006657
GPU3,20,21,0.031024,0.005760
GPU3,20,22,0.042304,0.006292
GPU3,20,23,0.039932,0.006577
GPU3,20,24,0.043909,0.007023
GPU3,20,25,0.027673,0.005237
GPU3,20,26,0.024720,0.004860
GPU3,20,27,0.023605,0.004618
GPU3,20,28,0.035047,0.005561
GPU3,20,29,0.023021,0.005951
GPU3,20,30,0.025236,0.004574
GPU3,20,31,0.023397,0.004479
GPU3,20,32,0.029399,0.005350
GPU3,30,1,0.041867,0.013967
GPU3,30,2,0.028262,0.011131
GPU3,30,3,0.025492,0.010894
GPU3,30,4,0.023653,0.009535
GPU3,30,5,0.023073,0.009342
GPU3,30,6,0.023154,0.009263
GPU3,30,7,0.036269,0.015250
GPU3,30,8,0.030349,0.010901
GPU3,30,9,0.033275,0.012615
GPU3,30,10,0.026283,0.010129
GPU3,30,11,0.023726,0.009497
GPU3,30,12,0.023304,0.009462
GPU3,30,13,0.023026,0.009441
GPU3,30,14,0.033367,0.012655
GPU3,30,15,0.026649,0.010650
GPU3,30,16,0.042845,0.013707
GPU3,30,17,0.038824,0.012578
GPU3,30,18,0.043468,0.014327
GPU3,30,19,0.030994,0.012620
GPU3,30,20,0.030006,0.011445
GPU3,30,21,0.039143,0.013360
GPU3,30,22,0.028630,0.011266
GPU3,30,23,0.025362,0.011781
GPU3,30,24,0.024238,0.009407
GPU3,30,25,0.023065,0.009517
GPU3,30,26,0.024622,0.009520
GPU3,30,27,0.031161,0.011045
GPU3,30,28,0.025950,0.010836
GPU3,30,29,0.038420,0.014694
GPU3,30,30,0.025474,0.009875
GPU3,30,31,0.023463,0.010086
GPU3,30,32,0.023057,0.010302
GPU3,40,1,0.025981,0.014669
GPU3,40,2,0.029817,0.017134
GPU3,40,3,0.025775,0.015657
GPU3,40,4,0.023091,0.015498
GPU3,40,5,0.036566,0.020680
GPU3,40,6,0.028013,0.018865
GPU3,40,7,0.023131,0.014978
GPU3,40,8,0.037534,0.020233
GPU3,40,9,0.041919,0.020711
GPU3,40,10,0.026363,0.015949
GPU3,40,11,0.023317,0.015285
GPU3,40,12,0.023170,0.016157
GPU3,40,13,0.023235,0.014329
GPU3,40,14,0.023126,0.015986
GPU3,40,15,0.043128,0.021031
GPU3,40,16,0.028541,0.017074
GPU3,40,17,0.037271,0.020743
GPU3,40,18,0.039172,0.020231
GPU3,40,19,0.028334,0.016464
GPU3,40,20,0.024740,0.016642
GPU3,40,21,0.023176,0.014732
GPU3,40,22,0.028994,0.014850
GPU3,40,23,0.033537,0.021025
GPU3,40,24,0.035053,0.020781
GPU3,40,25,0.042821,0.021307
GPU3,40,26,0.028273,0.016420
GPU3,40,27,0.023047,0.015137
GPU3,40,28,0.023206,0.014371
GPU3,40,29,0.022939,0.014520
GPU3,40,30,0.032287,0.017963
GPU3,40,31,0.036382,0.019608
GPU3,40,32,0.028248,0.022340
GPU3,50,1,0.026816,0.032360
GPU3,50,2,0.022873,0.020974
GPU3,50,3,0.023291,0.020880
GPU3,50,4,0.023037,0.021208
GPU3,50,5,0.023060,0.021150
GPU3,50,6,0.022973,0.022355
GPU3,50,7,0.023080,0.021360
GPU3,50,8,0.023059,0.021779
GPU3,50,9,0.023362,0.022154
GPU3,50,10,0.023073,0.020818
GPU3,50,11,0.023137,0.020555
GPU3,50,12,0.022914,0.020252
GPU3,50,13,0.042313,0.030834
GPU3,50,14,0.041898,0.029206
GPU3,50,15,0.043804,0.030076
GPU3,50,16,0.042067,0.033070
GPU3,50,17,0.027854,0.024736
GPU3,50,18,0.023818,0.022142
GPU3,50,19,0.023623,0.021445
GPU3,50,20,0.023385,0.020934
GPU3,50,21,0.033727,0.029221
GPU3,50,22,0.036164,0.028336
GPU3,50,23,0.026750,0.022680
GPU3,50,24,0.040680,0.031479
GPU3,50,25,0.042491,0.030874
GPU3,50,26,0.030955,0.024988
GPU3,50,27,0.026501,0.023527
GPU3,50,28,0.042040,0.028698
GPU3,50,29,0.028243,0.023689
GPU3,50,30,0.037448,0.028207
GPU3,50,31,0.042470,0.029383
GPU3,50,32,0.043261,0.029579
GPU3,60,1,0.030552,0.033047
GPU3,60,2,0.023177,0.028917
GPU3,60,3,0.031031,0.032313
GPU3,60,4,0.041690,0.037694
GPU3,60,5,0.023542,0.030550
GPU3,60,6,0.023375,0.029600
GPU3,60,7,0.036897,0.038193
GPU3,60,8,0.023165,0.028592
GPU3,60,9,0.034423,0.034239
GPU3,60,10,0.040471,0.038338
GPU3,60,11,0.034674,0.036304
GPU3,60,12,0.042708,0.040146
GPU3,60,13,0.024781,0.028926
GPU3,60,14,0.037755,0.038521
GPU3,60,15,0.028921,0.035271
GPU3,60,16,0.024288,0.030079
GPU3,60,17,0.040504,0.037694
GPU3,60,18,0.027859,0.032455
GPU3,60,19,0.023315,0.028740
GPU3,60,20,0.043180,0.042057
GPU3,60,21,0.023562,0.027988
GPU3,60,22,0.023174,0.028336
GPU3,60,23,0.027787,0.030471
GPU3,60,24,0.035986,0.036900
GPU3,60,25,0.027104,0.031464
GPU3,60,26,0.028774,0.032575
GPU3,60,27,0.035772,0.036974
GPU3,60,28,0.042181,0.037090
GPU3,60,29,0.042987,0.037599
GPU3,60,30,0.023607,0.028299
GPU3,60,31,0.024611,0.028554
GPU3,60,32,0.023215,0.028878
GPU3,70,1,0.030323,0.039076
GPU3,70,2,0.032150,0.046596
GPU3,70,3,0.023303,0.037755
GPU3,70,4,0.023159,0.037615
GPU3,70,5,0.023014,0.037093
GPU3,70,6,0.024495,0.038068
GPU3,70,7,0.023025,0.038245
GPU3,70,8,0.029908,0.037426
GPU3,70,9,0.023216,0.039039
GPU3,70,10,0.031950,0.048092
GPU3,70,11,0.037227,0.050117
GPU3,70,12,0.041369,0.049085
GPU3,70,13,0.023045,0.036372
GPU3,70,14,0.023007,0.037505
GPU3,70,15,0.027015,0.056271
GPU3,70,16,0.023169,0.039952
GPU3,70,17,0.023161,0.037258
GPU3,70,18,0.023143,0.036873
GPU3,70,19,0.023075,0.036486
GPU3,70,20,0.029942,0.041388
GPU3,70,21,0.037056,0.048801
GPU3,70,22,0.031908,0.043999
GPU3,70,23,0.023376,0.037351
